SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0.5142514200025698,0.17576187209864347,0.34530205081907617,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
1,-0.015113308357824713,-1.4943441130683104,-0.7465463483116027,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,0.3106496014024181,1.3622849302172555,0.8597800458594985,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False
0,0.5956921474426305,-0.7598298389948839,-0.17848516786884863,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
0,0.14776814652229667,-0.3875873109576722,-0.16701408659704434,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True
0,1.4915401492832983,1.3406815692150957,2.186123817911869,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False
0,1.5729808767233588,0.5297246331340278,1.5112051034679226,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,1.5729808767233588,-1.3331498040521963,-0.2513265339448058,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,0.10704778280226633,-0.3859255139575061,-0.1539326419928521,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0,-1.1960038562387048,-0.33607160395252245,-0.9224068481170331,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,1.6137012404433893,1.4935668932303794,2.478923167374673,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1.6137012404433893,0.85876043916692,1.8362778988935147,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,1.4508197855632678,0.27380789510844483,1.2720551187224798,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
0,0.3920903288424788,-0.3327480099521901,0.03028851127798928,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False
1,-0.46303730927815856,-1.4710789550659844,-0.81632140612452,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,-0.9924020376385531,0.9086143491719036,-0.6837862978918273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1,-0.9109613101984924,0.3502505571160864,-0.6879776545103712,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.5729808767233588,1.395520870220578,2.2074997366664424,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
1,0.5549717837226001,0.8820255971692458,0.8146898725526371,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False
0,-1.1960038562387048,0.5064594751317021,-0.8993764464867183,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1,-0.8295205827584317,0.8820255971692458,-0.5229485025981253,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.2594354906780068,-0.562075995975115,-0.4805937409791557,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,-1.1960038562387048,-0.4856333339674735,-0.9348706191142819,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0.6771328748826912,0.32200000811326246,0.6362483794610507,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0,0.025607055362205634,0.5264010391336954,0.1638163092361265,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,0.3920903288424788,0.9850570111795457,0.7653862828555551,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,-0.055833672077855064,0.3485887601159204,0.02854578931554217,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False
1,1.4508197855632678,1.4088152462219072,2.2500971557738545,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
1,1.369379058123207,1.7112623002521414,2.462951892680853,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
0,1.0436161483629645,-1.502653098069141,-0.516639407898633,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0.10704778280226633,-1.4843733310673135,-0.7167215370049116,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,-1.2774445836787656,-1.481049737066981,-0.9969247568404078,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,0.3106496014024181,0.33363258711442517,0.3052635652261439,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,-0.7888002190384014,0.3801629031190768,-0.5728256463587974,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
0,1.002895784642934,-0.3011738669490337,0.39345853238897766,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,-1.2774445836787656,0.3502505571160864,-0.9726148884528533,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,-1.2774445836787656,-0.6335332669822583,-0.985674273285369,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0.5549717837226001,-0.34604238595351905,0.07957004120339473,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
1,0.3106496014024181,0.9900424021800438,0.6003130113999561,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False
0,-0.46303730927815856,0.4233696251233959,-0.2888943251099649,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
0,-1.0738427650786138,1.109691786192005,-0.7554805558406041,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,1.0843365120829946,1.5400972092350305,1.886287401284246,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True
0,-0.7073594915983407,-0.2047896409393986,-0.591245555708714,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False
0,-0.21871512695797646,0.9900424021800438,0.19624417360065016,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
0,1.5729808767233588,1.7129240972523074,2.6602986100992396,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False
0,0.5142514200025698,0.8155537171626008,0.8437205320789722,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,-1.1552834925186746,-1.46443176706532,-0.9736075781782978,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.2774445836787656,-1.5009913010689746,-0.9971894741005264,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,0.5956921474426305,1.1495749141959914,1.0894663885557025,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.06632741908223598,-0.4972659129686364,-0.24071578376838684,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.5851984004382496,-0.34438058895335305,-0.5835687551652757,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
0,-0.9924020376385531,-0.3493659799538514,-0.8082916492342569,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,-1.0331224013585834,-0.9725398550161476,-0.8957365841600881,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
0,-1.1145631287986442,0.6560212051466532,-0.8056444766330714,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,0.26992923768238775,-0.18152448293707302,-0.03117001261286971,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
0,-0.13727439951791576,-1.4660935640654862,-0.7169200749500005,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,-1.2774445836787656,-0.31779183695069496,-0.9814829166668252,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0,-0.055833672077855064,-1.3215172250510334,-0.6576454684551195,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,-1.2367242199587352,-1.3447823830533592,-0.9888729401784683,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1.247217966963116,0.2006888271011353,0.9569533400946867,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
0,-0.5037576729981889,0.466576347127715,-0.28170283954341063,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,1.5729808767233588,0.6161380771426661,1.594789578350358,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,1.369379058123207,-0.12003799393092641,0.7666436898411182,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
0,-0.9924020376385531,-0.6518130339840859,-0.8124168265377711,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-1.2367242199587352,1.0382345151848615,-0.9287159428165253,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.1960038562387048,-0.9858342310174765,-0.9612320462677553,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,0.5956921474426305,-1.479387940066815,-0.5514938471475768,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,-1.2367242199587352,-0.5155456799704636,-0.9659748971782128,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.2774445836787656,0.3070438351117673,-0.9731884425164435,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,-1.0331224013585834,-1.479387940066815,-0.9488565143572125,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,1.4915401492832983,1.3373579752147637,2.213897070452641,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False
0,-1.1145631287986442,1.3473287572157604,-0.7629146988956004,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0,1.5729808767233588,-1.5009913010689746,-0.3808835730011646,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,-1.2774445836787656,0.3170146171127639,-0.9730560838863842,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,-0.748079855318371,0.827186296163764,-0.4727184024906286,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False
0,-0.13727439951791576,-1.5093002860698053,-0.7404137317855228,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,0.9621754209229036,0.5662841671376824,0.9947417289766111,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
1,-1.0738427650786138,1.0299255301840309,-0.7527010246093593,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1,-1.2774445836787656,-0.8163309370005319,-0.9881008481697892,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0.5549717837226001,0.8703930181680831,0.8633316690994226,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False
0,-0.5037576729981889,1.4437129832253957,-0.033574527725613416,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,-0.5037576729981889,0.6992279271509723,-0.24367179317304413,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
1,0.18848851024232702,0.3818247001192428,0.247841979552093,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.3408762181180675,-1.4976677070686424,-0.7878643006617747,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True
0,-0.13727439951791576,0.9933659961803764,0.16295597814074125,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
0,-0.46303730927815856,1.3174164112127704,-0.035096651971295065,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,-0.5444780367182193,1.2808568772091153,-0.11784285553002172,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0.880734693482843,0.5264010391336954,0.891281399813607,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,-1.2367242199587352,-1.5109620830699715,-0.9933510738288072,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
1,-0.21871512695797646,1.3140928172124378,0.2594012999106034,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False
0,0.5549717837226001,-0.13333236993225536,0.2707179627806719,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0,-0.5851984004382496,-1.4993295040688086,-0.8330206532836658,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,0.7992939660427822,-1.4926823160681442,-0.5335371930028677,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,0.43281069256250915,-0.28621769394753876,0.09684284242613084,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,-1.1960038562387048,-1.4893587220678117,-0.9802475694529384,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.1552834925186746,-0.6634456129852487,-0.9280982692095822,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,-1.0738427650786138,0.6244470621434968,-0.7951440253150351,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
1,0.10704778280226633,1.1977670272008092,0.5107723981648531,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,1.4508197855632678,-0.14828854293375057,0.8070351317808753,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,-1.1145631287986442,1.0465435001856922,-0.7797463046848054,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.1960038562387048,-0.6700928009859131,-0.9517022249034871,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,-1.1552834925186746,0.2654989101076142,-0.8656470555932784,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-1.1552834925186746,-1.3115464430500368,-0.95423909864629,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
0,-1.2367242199587352,0.4964886931307054,-0.9330396580651286,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,0.3106496014024181,1.506861269231708,0.9659096073953648,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False
0,-0.9109613101984924,1.0083221691818711,-0.6241587350501216,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
1,-0.3408762181180675,0.5230774451333633,-0.08442230144005357,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,1.6137012404433893,1.4171242312227377,2.4128762109750923,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False
0,-0.3408762181180675,1.1479131171958254,0.06686361271770375,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False
0,1.6137012404433893,0.7258166791536301,1.795974696040464,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,-1.2774445836787656,-0.4174996569606623,-0.982806502967418,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
0,-0.5851984004382496,0.7839795741594444,-0.2825852304104725,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
0,-1.1552834925186746,-0.8213163280010305,-0.9341647064206325,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
1,0.14776814652229667,0.8670694241677506,0.4001205834352947,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.8702409464784621,0.3485887601159204,-0.6137685825904681,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,-1.2774445836787656,0.15914390209698223,-0.9751517621956561,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.3920903288424788,0.50313588113137,0.4560200448636642,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1,-0.6666391278783103,0.684271754149477,-0.39912700417766867,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
0,0.7178532386027215,1.6481140142458286,1.5491699705232596,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False
0,-1.2774445836787656,-1.3348116010523623,-0.9949834969328717,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0.22920887396235737,-1.4893587220678117,-0.6721166786749341,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True
1,-0.3408762181180675,0.5014740841312035,-0.18620608795563998,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.055833672077855064,-0.16823010693574386,-0.20043464068701258,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.9924020376385531,-1.505976692069473,-0.935598591579608,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
1,0.43281069256250915,1.422109622223236,0.994499071488169,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False
0,1.002895784642934,0.1857326540996401,0.8139398403156343,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False
0,-0.7888002190384014,-1.4594463760648215,-0.8856773282755828,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
0,0.3106496014024181,0.8255244991635975,0.5331189468731949,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False
0,-0.38159658183809786,-1.4993295040688086,-0.8130786196880675,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,1.6137012404433893,0.6261088591436628,1.6233790424431627,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
0,0.9214550572028734,0.6477122201458225,1.019183955994225,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
0,0.6364125111626608,1.5517297882361936,1.339160944162535,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,-1.2774445836787656,0.3386179781149237,-0.9727693068545892,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.14776814652229667,1.0831030341893466,0.5197727850088841,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,-0.8702409464784621,0.15249671409631763,-0.6915954570653249,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.2774445836787656,0.6593447991469852,-0.9685117709210157,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,0.8400143297628127,1.1180007711928355,1.2660989803698122,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
0,1.5322605130033284,-0.45572098796448335,0.5979746756022422,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False
0,-0.8295205827584317,1.0282637331838649,-0.48346151129710674,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False
0,-0.4223169455581282,0.9950277931805424,-0.16099176892934705,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
0,0.9214550572028734,0.142525932095321,0.6895006682882344,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
1,-0.1779947632379461,-0.010359391919962149,-0.1818603129353603,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,1.0436161483629645,-1.4926823160681442,-0.4945575764504098,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True
0,-0.5444780367182193,-1.4976677070686424,-0.8353148695380267,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,-0.5444780367182193,1.0099839661820376,-0.21642797515250894,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,-0.055833672077855064,0.25552812810661757,-0.05450925104665616,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False
0,-0.7888002190384014,0.8188773111629334,-0.5062492554389796,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False
0,-1.2774445836787656,-1.481049737066981,-0.9969247568404078,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,-1.2774445836787656,0.19570343610063723,-0.9746664472187722,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.5851984004382496,0.2920876621102721,-0.40605377248410435,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.7888002190384014,-1.4893587220678117,-0.8924496781802826,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
